rank,feature_index,feature_name,importance_score
672,987,feature_987,0.0007422772
673,53,feature_53,0.0007417728
674,263,feature_263,0.0007398742
675,599,feature_599,0.0007373827
676,150,feature_150,0.0007362638
677,421,feature_421,0.0007347044
678,812,feature_812,0.00073456654
679,409,feature_409,0.0007303768
680,675,feature_675,0.0007282316
681,691,feature_691,0.0007278104
682,177,feature_177,0.0007266463
683,329,feature_329,0.00072602805
684,610,feature_610,0.00072503183
685,217,feature_217,0.00072406634
686,697,feature_697,0.00072078826
687,488,feature_488,0.00071764644
688,429,feature_429,0.00071728474
689,493,feature_493,0.00071712903
690,829,feature_829,0.00071499404
691,137,feature_137,0.0007147585
692,167,feature_167,0.00071224227
693,699,feature_699,0.0007119417
694,178,feature_178,0.00071164354
695,961,feature_961,0.0007106137
696,750,feature_750,0.0007095421
697,64,feature_64,0.00070329144
698,780,feature_780,0.0007031981
699,742,feature_742,0.0007020469
700,1012,feature_1012,0.00070095214
701,912,feature_912,0.0007007104
702,346,feature_346,0.0007006925
703,842,feature_842,0.0007004428
704,774,feature_774,0.0006997004
705,199,feature_199,0.00069939427
706,809,feature_809,0.00069893425
707,420,feature_420,0.0006986206
708,362,feature_362,0.0006984339
709,511,feature_511,0.00069764536
710,357,feature_357,0.000696606
711,126,feature_126,0.0006958525
712,974,feature_974,0.0006932654
713,335,feature_335,0.00069218973
714,156,feature_156,0.0006920875
715,269,feature_269,0.0006914057
716,798,feature_798,0.0006906839
717,151,feature_151,0.00069001055
718,195,feature_195,0.0006878051
719,162,feature_162,0.0006857346
720,561,feature_561,0.00068506505
721,359,feature_359,0.0006839416
722,304,feature_304,0.00068314536
723,880,feature_880,0.0006830733
724,970,feature_970,0.0006829227
725,402,feature_402,0.0006827677
726,376,feature_376,0.00068110164
727,920,feature_920,0.0006810697
728,959,feature_959,0.00068101054
729,478,feature_478,0.0006794526
730,182,feature_182,0.00067896437
731,523,feature_523,0.0006767419
732,905,feature_905,0.0006766791
733,185,feature_185,0.00067482423
734,782,feature_782,0.0006747753
735,119,feature_119,0.00067468866
736,1003,feature_1003,0.00067366613
737,380,feature_380,0.00067355344
738,208,feature_208,0.0006724403
739,1023,feature_1023,0.00067031477
740,705,feature_705,0.00067013566
741,428,feature_428,0.0006691093
742,727,feature_727,0.0006684479
743,835,feature_835,0.00066811556
744,951,feature_951,0.0006674813
745,1009,feature_1009,0.0006672523
746,736,feature_736,0.0006644375
747,446,feature_446,0.0006640073
748,504,feature_504,0.00066371245
749,412,feature_412,0.0006634331
750,810,feature_810,0.00066174153
751,840,feature_840,0.00066154887
752,505,feature_505,0.00065707957
753,313,feature_313,0.00065634615
754,110,feature_110,0.0006561873
755,290,feature_290,0.00065435434
756,738,feature_738,0.000652277
757,848,feature_848,0.00064910785
758,189,feature_189,0.00064860034
759,343,feature_343,0.00064852246
760,776,feature_776,0.00064812065
761,570,feature_570,0.0006476478
762,680,feature_680,0.0006474968
763,373,feature_373,0.00064617646
764,788,feature_788,0.0006454046
765,994,feature_994,0.00064536586
766,712,feature_712,0.0006451042
767,624,feature_624,0.0006412439
768,211,feature_211,0.00063993735
769,92,feature_92,0.0006396826
770,973,feature_973,0.00063800265
771,96,feature_96,0.0006377444
772,846,feature_846,0.00063654524
773,403,feature_403,0.0006365108
774,19,feature_19,0.00063545286
775,544,feature_544,0.0006351935
776,361,feature_361,0.0006343522
777,365,feature_365,0.00063406356
778,279,feature_279,0.0006337195
779,913,feature_913,0.00063331384
780,276,feature_276,0.00063279056
781,851,feature_851,0.0006318531
782,385,feature_385,0.0006283591
783,345,feature_345,0.0006274937
784,529,feature_529,0.00062709965
785,252,feature_252,0.00062700966
786,793,feature_793,0.0006266786
787,431,feature_431,0.0006255806
788,190,feature_190,0.0006248202
789,378,feature_378,0.0006241068
790,693,feature_693,0.0006218386
791,38,feature_38,0.0006210634
792,375,feature_375,0.00062027
793,914,feature_914,0.0006202218
794,1002,feature_1002,0.00061724277
795,358,feature_358,0.00061680016
796,844,feature_844,0.0006166498
797,787,feature_787,0.00061577925
798,121,feature_121,0.0006136841
799,79,feature_79,0.00061177486
800,174,feature_174,0.0006116521
801,306,feature_306,0.0006107161
802,955,feature_955,0.0006100897
803,356,feature_356,0.00060912536
804,589,feature_589,0.00060655695
805,897,feature_897,0.00060638995
806,594,feature_594,0.0006060904
807,942,feature_942,0.00060214696
808,355,feature_355,0.0006011575
809,514,feature_514,0.0006007432
810,676,feature_676,0.00060057495
811,525,feature_525,0.0005998812
812,664,feature_664,0.00059934583
813,661,feature_661,0.0005993149
814,813,feature_813,0.00059813086
815,866,feature_866,0.00059373566
816,748,feature_748,0.0005935106
817,800,feature_800,0.0005919216
818,649,feature_649,0.0005915567
819,862,feature_862,0.0005905354
820,922,feature_922,0.0005899662
821,391,feature_391,0.0005887231
822,270,feature_270,0.00058850064
823,825,feature_825,0.0005867472
824,432,feature_432,0.00058673695
825,153,feature_153,0.00058644154
826,659,feature_659,0.00058331183
827,983,feature_983,0.0005803629
828,351,feature_351,0.0005800959
829,192,feature_192,0.0005798261
830,557,feature_557,0.0005761119
831,250,feature_250,0.00057600514
832,607,feature_607,0.00057538535
833,231,feature_231,0.0005738531
834,309,feature_309,0.00057351287
835,86,feature_86,0.00056554645
836,573,feature_573,0.00056354364
837,979,feature_979,0.0005634306
