feature,ks_statistic,wasserstein_dist
f681,0.02505999999999997,0.06559830518603323
f604,0.02505999999999997,0.06591892279386521
f178,0.025000000000000022,0.07484667512536052
f134,0.02499999999999991,0.07276845205903051
f648,0.024940000000000018,0.09127345081686977
f399,0.024919999999999942,0.09682470819234842
f975,0.024919999999999942,0.09237533739089962
f956,0.024880000000000013,0.05929868953108783
f232,0.024859999999999993,0.0805157821249962
f1005,0.024859999999999993,0.07582118660926816
f482,0.024820000000000064,0.08742346139788627
f88,0.024780000000000024,0.08586594498276712
f599,0.024760000000000004,0.059934564414024324
f810,0.024739999999999984,0.06578342097997664
f418,0.024719999999999964,0.07056158182382583
f949,0.0247,0.06868823365569114
f78,0.024660000000000015,0.06210254473328587
f666,0.024619999999999975,0.07223451723456384
f189,0.024540000000000006,0.07057570084571839
f24,0.024540000000000006,0.08241199334383013
f757,0.024540000000000006,0.08762503467202187
f764,0.024499999999999994,0.07068214505195619
f768,0.024499999999999966,0.05871304681777953
f457,0.024499999999999966,0.058423005878925315
f202,0.024399999999999977,0.052968494396209695
f326,0.02434000000000003,0.06291492963433269
f401,0.024339999999999973,0.0771952091062069
f723,0.02429999999999999,0.050335063169002534
f993,0.02426000000000006,0.07598882625818255
f31,0.024239999999999984,0.06665674418807029
f41,0.024239999999999984,0.0627573548054695
f925,0.02422000000000002,0.07324802221536636
f724,0.0242,0.0742319982397556
f626,0.0242,0.08605853977322579
f974,0.02417999999999998,0.058331825995445244
f173,0.024139999999999995,0.08571999943494796
f1022,0.02413999999999994,0.0688868041694164
f559,0.02412000000000003,0.05562325608849528
f85,0.024119999999999975,0.08707359770655632
f92,0.02407999999999999,0.05720926007151607
f647,0.024040000000000006,0.07789772903800014
f448,0.023880000000000012,0.08808842599630348
f469,0.023880000000000012,0.06361871655225754
f583,0.023800000000000043,0.07353453955292694
f534,0.023780000000000023,0.06651197138786313
f313,0.023780000000000023,0.06374037761092186
f453,0.023760000000000003,0.06494085478067393
f242,0.023639999999999994,0.06612835105657577
f285,0.023620000000000085,0.0710796065092087
f141,0.02360000000000001,0.06218422870755197
f875,0.02357999999999999,0.06641421449303624
f124,0.023560000000000025,0.062382937797307976
f148,0.023559999999999998,0.08216879104852678
f685,0.023519999999999985,0.06739273818969725
f667,0.023519999999999985,0.06868715314149854
f843,0.023499999999999993,0.08532553040981296
f550,0.02343999999999996,0.08150247591495514
f727,0.023340000000000027,0.08023340352177619
f226,0.023299999999999987,0.058645201730728146
f312,0.023299999999999987,0.07157714300990102
f80,0.023280000000000023,0.07682656633973123
f286,0.023279999999999967,0.06567757874369622
f670,0.02324000000000004,0.07588797025680541
f415,0.02322000000000002,0.08847442829608916
f827,0.02322000000000002,0.05464249023675918
f29,0.02322000000000002,0.06987465565443035
f380,0.02315999999999996,0.06843364545702932
f740,0.02312000000000003,0.058058806679248835
f281,0.023040000000000005,0.06710708653450012
f530,0.02303999999999995,0.06508711486577987
f891,0.02303999999999995,0.07523122401595117
f561,0.023019999999999985,0.06526460844635963
f439,0.023019999999999985,0.06686690500020982
f493,0.02300000000000002,0.06802851830244067
f645,0.022999999999999965,0.0720233700859547
f466,0.02293999999999996,0.051896467825174326
f70,0.02290000000000003,0.0677398827779293
f607,0.022860000000000047,0.05023355216622348
f865,0.022840000000000027,0.07470851566076275
f471,0.022820000000000062,0.06590487143278119
f948,0.02279999999999993,0.0660439421236515
f267,0.022740000000000038,0.06695863113164903
f438,0.022679999999999978,0.06593087696313857
f916,0.022660000000000013,0.07141298655748371
f892,0.022660000000000013,0.06358306280255316
f854,0.022639999999999993,0.07378087036252019
f905,0.022559999999999997,0.05487243316292764
f328,0.022540000000000004,0.07775019358515738
f127,0.022399999999999975,0.07273644089221952
f841,0.022399999999999975,0.06816081318497656
f359,0.022320000000000007,0.06944049766182898
f53,0.022199999999999998,0.05478042547821997
f283,0.022199999999999998,0.053926231298446654
f656,0.022180000000000005,0.0752811246430874
f881,0.022159999999999958,0.05772265916466708
f490,0.02214000000000002,0.054916081577539466
f133,0.022139999999999993,0.055495320000648496
f441,0.022119999999999973,0.059771751670837425
f298,0.02206000000000008,0.061617670707702625
f886,0.02195999999999998,0.07245947983503337
f146,0.021939999999999987,0.06994644838094713
f341,0.021919999999999995,0.07976039567589759
f759,0.021919999999999995,0.06921153796672819
f321,0.021899999999999975,0.04859048826098442
f338,0.02188000000000001,0.04294296995878219
f323,0.02181999999999995,0.05667315768718718
f932,0.02178000000000002,0.06743815052866937
f472,0.02178000000000002,0.06775603749990464
